1,-0.9968648898982337,-6930.0,"(0, 0)","[ 1.00000000e+03  9.69100000e+01  5.53800000e+01  1.18160000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.83472549e-01
 -1.26935942e+00 -2.92867616e+00  4.48685063e+01  3.84611226e+01
  4.32726198e+01  5.01223473e+01 -1.34979015e-01 -1.47173998e+01
  7.61661620e+00  1.79324999e+01  1.77142856e+01]",[-0.89444053 -0.89444053 -0.89444053]
1,-9.568403471746365,-6940.0,"(1, 1)","[ 1.00000000e+03  9.69100000e+01  5.53800000e+01  1.18160000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.83472549e-01
 -1.26935942e+00 -2.92867616e+00  4.48685063e+01  3.84611226e+01
  4.32726198e+01  5.01223473e+01 -1.34979015e-01 -1.47173998e+01
  7.61661620e+00  1.79324999e+01  1.77142856e+01]",[-0.89444053 -0.89444053 -0.89444053]
0,1,2,3,4,5
1,-0.9968648898982337,-6940.0,"(0, 0)","[ 1.00000000e+03  9.66900000e+01  5.55800000e+01  1.18180000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.76716528e-01
 -1.10023611e+00 -2.60281040e+00  4.46369270e+01  3.90129033e+01
  4.32901898e+01  5.56844939e+01  8.98653196e+00 -9.61481670e+00
  6.18846555e+00  2.02961666e+01  1.76614020e+01]",[-0.7025764 -0.7025764 -0.7025764]
1,-9.568403471746365,-6950.0,"(1, 1)","[ 1.00000000e+03  9.66900000e+01  5.55800000e+01  1.18180000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.76716528e-01
 -1.10023611e+00 -2.60281040e+00  4.46369270e+01  3.90129033e+01
  4.32901898e+01  5.56844939e+01  8.98653196e+00 -9.61481670e+00
  6.18846555e+00  2.02961666e+01  1.76614020e+01]",[-0.7025764 -0.7025764 -0.7025764]
0,1,2,3,4,5
1,-0.9968648898982337,-6950.0,"(0, 0)","[ 1.00000000e+03  1.00530000e+02  5.68000000e+01  1.19960000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.77899514e-01
 -8.57871858e-01 -2.17584651e+00  4.93566075e+01  4.22788207e+01
  4.48625008e+01  1.67723611e+02  5.02610392e+01  2.06149005e+01
  9.60066171e+00  1.32219318e+01  1.21923380e+01]",[-0.8175372 -0.8175372 -0.8175372]
1,-9.568403471746365,-6960.0,"(1, 1)","[ 1.00000000e+03  1.00530000e+02  5.68000000e+01  1.19960000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.77899514e-01
 -8.57871858e-01 -2.17584651e+00  4.93566075e+01  4.22788207e+01
  4.48625008e+01  1.67723611e+02  5.02610392e+01  2.06149005e+01
  9.60066171e+00  1.32219318e+01  1.21923380e+01]",[-0.8175372 -0.8175372 -0.8175372]
0,1,2,3,4,5
1,-0.9968648898982337,-6960.0,"(0, 0)","[ 1.00000000e+03  1.00750000e+02  5.71200000e+01  1.19650000e+02
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.35796367e-02
 -6.32681950e-01 -1.84126401e+00  4.96111974e+01  4.31055260e+01
  4.46395214e+01  1.85774605e+02  8.84951286e+01  2.46486567e+01
  1.02744264e+01  9.33708072e+00  1.21923380e+01]",[-1. -1. -1.]
